,,,,,,,,,,,,
,,,,,,,,,,,,
lfd. Nr.,"Kasten, Stk",Authentitz,Format,Absender,Empfänger,Datum,Abs.- Ort,GS und Herzfeld,GB,Bemerkungen,,
289,[C084,K,W,"Ehrenberg, Rudolf",Rosenzweig Franz u. Ed.,1920-03-28,Berlin,,,"Becherrede f FR u Edith; Ort/Dat/Adr ÜbergL; Autor:""halbjd"": Rudolfs Mutter Christ",,
290,[C085,Abs.ms,S,"Rosenzweig, Adele","Rosenzweig,  Franz",1922-00-00,Kassel Aug.-22. Dez,,,Erinnerungen an Franz als Kind; siehe [A25; O.Gedicht in [C066;,,
291,[C086,O,B,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1913-11-03,Göttingen,"I,1 Seite 138 ff",,"Antw auf 31.10.1913 ""Ich bleibe also Jude."",GSI,1 Nr. 198; dazu [E4=GS I,1Nr.199",,
292,[C087,ms P,W,"Ehrenberg, Rudolf","Rosenzweig, Adele",1929-12-00,o.O.,,,"Gedicht: ""Ich habe meinen großen Freund verloren ... """,,
293,[C088,ms P,S,???,,1919-12-00,o.O.,"Vgl. zu I,2 Nr.619",,eine Erinnerung zum Verh. FR zu Dr. Joseph Prager - Beginn deren Gespräche,,
294,[C089,K,B,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-02-01,Heidelberg,,,Dat ÜbergL; 2. Brf. 01. 05. 1919; z Gespr m. d. Freunden und z. Hegelbuch.,,
295,"[C090,01",O,PK,"Cohen, Hermann","Rosenzweig, Franz",1915-11-25,"Marburg, Hotel Pfeiffer",,,"""..Wissen Sie denn gar nicht, daß ich alle 14 Tage in Marburg bin .."" sonst Berlin",,
296,"[C090,02",O,BK,"Cohen, Hermann","Rosenzweig, Adele",1917-05-08,Berlin,,,"Dank an Adele für Weiterleitung eines Brfs v FR und zu Veröff:""Zeit ist's""?",,
297,"[C090,03",O,BK,"Cohen, Hermann","Rosenzweig, Adele",1917-07-00,Berlin,,,"[C90,3u4 Danksagung für Gastfreundschaft in Kassel",,
298,"[C090,04",O,BK,"Cohen, Hermann","Rosenzweig, Adele",1917-07-00,Berlin,,,"[C90,3u4 Danksagung für Gastfreundschaft in Kassel",,
299,"[C090,05",O,PK,"Cohen, Hermann","Rosenzweig, Adele",1917-09-01,Baden-Baden,,,Verabredung Besuch,,
300,"[C090,06",O,PK,"Cohen, Hermann","Rosenzweig, Adele",1917-09-11,Marburg,,,Verabredung Besuch genauer,,
301,"[C090,07",O,B,"Cohen, Hermann u. Martha","Rosenzweig, Fam.",1917-09-19,Berlin,,,inc.:Verehrte Freunde; Ehepaar Cohen war zu Besuch in Kassel - Dank,,
302,"[C090,08",O + ms P,B,"Cohen, Hermann","Rosenzweig, Adele",1917-10-09,Berlin,,,"Zur Veröffentlichung von ""Zeit ist's"" ,  Bitte um Kartoffeln! u. Berichte von Franz",,
303,"[C090,09",ms P,B,"Cohen, Hermann u. Martha","Rosenzweig, Adele",1918-02-05,Berlin,,,"ms Paus ohne U.; Dank für Butter, Käse und für Ber. v. Franz; wieder zu Kräften",,
304,"[C090,10",O,B,"Cohen, Hermann","Rosenzweig, Adele",1917-04-12,Baden-Baden,,,"Lob auf Franz u. seine Schrift [""Zeit ist's ""]; Mitteilung einer Sehstörung, s. [G14,2",,
305,"[C090,11",O,B,"Cohen, Martha","Rosenzweig, Adele",1918-04-00,Berlin,,,Dank für Kondolenz: H. Cohen gest. 04. 04. 1918;,,
306,"[C090,12",O,B,"Cohen, Martha","Rosenzweig, Adele",1918-05-27,Berlin,,,"Brief von Witwe zu Witwe: Georg war am 19. März 1918 gest., Cohen am 4. 4. 18",,
307,"[C091,01",O,B,"Hallwachs, Wolfgang","Rosenzweig, Edith",1970-09-01,Kassel,,,"Edith Scheinmann, vw. Rosenzweig wg. Einweihung der Rosenzweiganlage KS",,
308,"[C091,02",O,L,"Lengemann, Werner",,1970-07-10,Kassel,,,Foto von Franz-Rosenzweig-Gedenkstein bei Eröffnung ~Anlage in Kassel,,
[C092,O,S,"Baeck, Leo u.a.","Rosenzweig, Fr. betr",1929-12-13,,DruckSache,,"Jüdische Rundschau Berlin, 34. Jgg, Nr. 98; erste Nachrufe",,,
,[C093,O,S,,,1979-12-13,Frankfurt,DruckSache,,"Ausstellung Ffm zum 50. Todestag, Begleitheft",,
311,[C094,O,S,,,1970-07-10,Kassel,DruckSache,,Einweihung Franz-Rosenzweig-Anlage Kassel - Begleitheft;,,
312,[C095,O,Dk,Zar der Bulgaren,"Rosenzweig, FR betr",1917-05-02,,,,vorläufige Urkunde zur Verleihung des Tapferkeitsordens IV. Klasse,,
313,[C096,K,Dk,Universität Freiburg,"Rosenzweig, FR betr",1910-10-17,Freiburg i. Br,,,Studienbuch Wi Se 1908/09-SoSe 1910; Studienbescheinigung,,
314,[C097,O,S,"Simon, Ernst","Rosenzweig, FR betr",1930-01-00,Berlin,DruckSache,,"Zeitschrift ""Zion""; II.Jgg Januar 1930 Nr.1,S. 5ff; Nachruf von Ernst Simon",,
315,[C098,O,S,"Rosenzweig, Franz",,1923-01-08,Frankfurt,DruckSache,,Programm Lehrhaus 08. Januar. bis 8. März; Jahr 1923 hd notiert,,
316,[C099,K,B,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1924-06-04,,K.v. [B007,,"Kopie von [B7; Dat auf Brief. In GS I,2 Nr.936 abw.; vgl. auch Übergabe.L",,
317,[C100,O,B,"Rosenzweig,  Franz","Rosenzweig, Adele",1922-09-29,,"I,2 Nr. 817 ...",,"Dat hdf u ÜbergL;""Eine Ewigkeit habe ich nicht geschrieben ..."" - Riesenschrift!",,
318,[C101,K,B,"Rosenzweig, Franz","Scholem, Gershom",1921-03-10,,"I,2 Nr. 653",,"Damals: Gerhard Scholem; Franz hatte ihm ""Büchlein"" geschickt; Dank für Lob",,
319,[C102,O,S,,,1980-04-28,Jerusalem,DruckSache,,Programm für Tagung zur Phil. FR's; 28. 04. - 02. 05. 1980. Teilnehmerliste,,
"320,01","[C103,01",O,W,"Rosenzweig, Franz",,1917-00-00,"""im Felde""","DruckS;GS III,262ff",,"""Realpolitik""; Autor:""Adam Bund""; Pseudonym FR",,
"320,02","[C103,02",O,W,"Rosenzweig, Franz",,1917-00-01,"""im Felde""","DruckS;GS III,301ff",,"""Nordwest und Südost""; Autor: ""Macedonius""; Pseudonym FR; GSI,1,Nr487",,
321,[C104,leer,Dk,Universität Freiburg,"Rosenzweig, FR betr",1917-12-11,Berlin,,,ÜbergL: Zeugnis der Promotion;  Urkunde vermisst!,,
322,[C105,O,W,"Rosenzweig, Franz","Rosenzweig, Georg",1898-07-02,Kassel,,,Für den Vater zum Geburtstag: das Hildebrandslied-Übersetzung und Zeichnung,,
323,"[C106,01",O,W,Franz Rosenzweig,Martha Reichenbach,1904-09-13,,,,"inc.""Nacht deckt nun mit...Flügeln"" Rücks:ReForm Rosenzweig u Baumann;s.[B6,2",,
324,"[C106,02",O,B,"Oppenheim, Gertrud","Rosenzweig, Rafael",,,"Bezug  I,2 Nr. 121",,"GO erklärt Rafael (?) Gedicht zu Tod e Kindes;""Du weißt, Johannes ist Brahms""",,
325,"[C106,03",Abs.ms,,"Oppenheim, Gertrud","Rosenzweig, Franz",1926-01-05,,,,"zum Bibel- und Buchverständnis;siehe hierzu GS I,2 Nr. 1069",,
326,"[C106,04",Abs.ms,W,"Rosenstock, Eugen",,,,,,Gedicht v. Eugen Rosenstock; vgl. [B95; Sicherung vor den Tücken der Feldpost,,
327,"[C106,05",Abs.ms,Be,"Schafft, Hermann u. a.","Rosenzweig, Franz",1926-12-25,,,,"Gratulationen für FR zum 40. Geb; u.a.Schafft, Bl 3; hier Dat.; Prager, Bl 4",,
328,[D,,,Copies from Norwich,,,,,,"in Kästen [D Kopien von Briefen, die bei Eugen Rosenstock-Huessy in USA lagen",,
329,[D001,Abs.ms K,Be,"Rosenzweig, Franz","Rosenstock-H ., Eu. u Mar.",1918-06-26,bis 1919-01-11,,S.113-218,,,
330,[D002,ms K,S,N. N.,,1961-00-00,USA,,,Dat.Listen Gritli-Briefe mit Siglen zu Inhalt. Autor? Dokumentation der Abschriften,,
331,"[D003,01",K,B,"Rosenstock , Eugen","Rosenzweig, Adele",1919-05-03,Säckingen,,,Eugen schreibt Adele nach Ihrem Suizidversuch; vgl. GB S. 282,,
332,"[D003,02",K,B,"Oppenheim,  Gertrud","Rosenstock-H., Margrit",1920-01-23,Kassel,,S. 537,Zum Verhältnis der beiden Frauen und wie GO das Verh. Gritli - Franz erlebt,,
333,"[D003,03",K,B,"Rosenstock-H., Margrit","Rosenzweig,  Adele",1920-01-00,,,,Gritli schreibt Adele nach Franz' Verlobung: Alles ist gut.,,
334,"[D003,04",K,B,"Rosenstock,  Eugen","Rosenzweig,  Adele",1920-02-27,Stuttgart,,,"zur geistigen Situation der Generation, die den Krieg- überlebt hat",,
335,"[D003,05",K,B,"Rosenstock-H.,  Eu. u M","Rosenzweig,  Adele",1920-03-10,,,,"Dat:""Grilis Geburtstag""; zum ""sterben wollen""; Lebensgefühl nach 1918",,
336,"[D003,06",K,B,"Rosenstock-H.,  Eu. u M","Rosenzweig,  Adele",1920-03-19,,,,"zum Zusammnegehören; ""Deine Hauskinder""; z. Todestag von Georg Rosenzweig",,
337,"[D003,07",K,B,"Rosenstock-H., Margrit","Rosenzweig,  Adele",1926-03-10,Säckingen,,,zu dem Konflikt mit Franz; siehe GB S. 821 f;,,
338,[D004,K,B,"Rosenzweig,  Adele","Rosenstock-H.,  Eugen",1921-09-02,Badenweiler,,,"""Ich habe Dich und Deine Liebe von Zeit zu Zeit nötig.""",,
339,[D005,K,B,"Rosenstock, Eugen","Rosenzweig, Adele",1930-12-08,Breslau 16,,,10 Seiten; zur Jahrzeit Franz; zum Weiterleben nach dem Krieg - Friedensgebot,,
340,[D006,K,W,"Rosenzweig, Franz",,1918-08-00,,,,(erste?) Sternskizze auf Rückseite eines großen BrfUmschlags; Handschr: Franz,,
341,[D007,K,Be,"Rosenzweig, Franz u Ed.","Rosenstock-H., Eu. u Mar.",1919-00-00,bis 1929-00-00,teilw.,teilw.,"Kop. der E. Rosenstock-H.Ges., 36.Bl.; 21 Brfe 1919-1929; teilw. in GB u GS",,
342,[D008,K,W,"Rosenzweig, Franz",,1918-08-00,,,,"Bl.2,4,6: Entwurf Gliederung Stern; Bl.1,3,5: Spiegelbild (Tintenblatt) auf ms Hegel",,
343,"[D009,01",K,B,"Rosenzweig, Franz","Rosenstock-H ., Margrit",1920-02-29,,,,"Hochzeitsvorbereitung; ""zieh doch das weiße Keid an. Edith lacht u darf das""",,
344,"[D009,02",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1920-02-24,,,S. 555,,,
345,"[D009,03",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-12-01,,,S. 203,zu Gritlis Mutter,,
346,"[D009,04",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-11-19,,,S. 194...,"Anschluss an 18. 11. 1918, S. 193:",,
347,"[D009,05",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1920-03-04,,,S. 559,Hochzeitsvorbereitungen; Lessinghaus als Ort in Berlin;,,
348,"[D009,06",K,B,"Rosenzweig,  Franz","Rosenstock-H ., Margrit",1920-02-25,,,S. 556,zum Einleben in Frankfurt,,
349,"[D009,07",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1921-09-15,,,S. 768/769,,,
350,"[D009,08",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1920-10-01,,,S. 666 ...,,,
351,"[D009,09",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1919-02-26,,,,"Dat:  keine Post! ""Es scheint wirklich zu spartakussen"" ~Aufstand 5. 1. 1919)",,
352,"[D009,10",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1921-12-30,,,S. 786 ...,zu einem Aufsatz von Hans Ehrenberg,,
353,"[D009,11",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1919-02-16,,,S. 239 ...,zur Fertigstellung des Stern III,,
354,"[D009,12",ms P korr K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1924-07-11,,,S. 814,,,
355,"[D009,13",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1921-09-12,,,S. 767 ...,zum Wohnungsproblem in Ffm; Vorlesungen halten,,
356,"[D009,14",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1920-07-15,,"I,2 Nr. 633 ...",S. 626 ...,zu Todesbereitschaft u Rettung,,
357,"[D009,15",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-10,,,S. 116 ...,wieder schreiben nach gewollter Abstinenz;für Mutter jemand ins Haus nehmen?,,
"358,01","[D009,16",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-11,,,S. 117 ...,"zum ""Jetzt""; zu Mutter Adele; zu Hans; zum Verzicht aufs Briefschreiben",,
"358,02","[D009,17",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-14,,,S. 118 ...,"""müde"" ist Franz von einem Brief der Mutter, die von einem Streit geschrb. hat.",,
"[D009,18",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-08-15,,,S. 118,"""Liebes Gritli --stumm vor zwei Worten, möchte weiter nichts schreiben ...""",,,
360,"[D009,19",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-08-16,,,S. 119,zu Rudis Roman in Predigten; zu Cohens System der Philosophie / Logik,,
361,"[D009,20",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-08-17,,,S. 199 ...,zum Urlaub und Gritli im Blau,,
362,"[D009,21",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-08-18,,,S. 120,zu einem BrfWchsel Eugen/Hans; zu Cohens System der Philosphie/Logik,,
363,"[D009,22",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-21,,,S. 122,"""Nimms nicht überschwer, was ich dir gestern schrieb."" näml am 20. 08. 1918",,
364,"[D009,23",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-08-20,,,S. 121 f,von der Wirkung des Kriegs auf die eigene Zukunft; um die Jahre betrogen,,
365,"[D009,24",K,B,"Rosenzweig, Franz","Rosenstock-H ., Margrit",1918-08-19,,,S. 121 ...,"""Ich bin recht innerlich zerwütet"" - Einteilung zum Nachtdienst stört Arb. am Stern",,
366,"[D009,25",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-22,,,S. 123 ff,"Entfaltung der Stern-Grafik; siehe [D6; Bezug auf ""Keimzelle""",,
367,"[D009,26",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-23,,,S. 127,"zum Stern, noch als Vorhaben; Gedanke der 2  Dreiecke schon da.",,
368,"[D009,27",K,B,"Rosenzweig,  Franz","Rosenstock-H., Margrit",1918-08-24,,,S. 128,"""Das Unheil nimmt seinen Lauf. Ich habe angefangen, eine Einleitung zu schreiben""",,
369,"[D009,28",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-08-25,,,S. 128 f,"noch immer ""Skatzwang""=Nachtwache; immerzu Sternchen malen; die Eidechsen",,
370,"[D009,29",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-08-26,,,S. 129,zur Funktion  des Dreiecks als Symbol; zu einer Arbeit von Eugen,,
"371,01","[D009,30",K,B,"Rosenzweig,  Franz","Rosenstock-H., Margrit",1918-08-27,,,S. 131 ...,"zu Eugen und zum ""Gritlianum""",,
"371,02","[D009,31",K,B,"Rosenzweig, Franz","Rosenstock-H. , Margrit",1918-08-28,,,S. 133,"fehlt in Kurzliste; Gritli in Kassel; Denken an das ""grüne Zimmer"" in Terrasse 1",,
372,"[D009,32",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-08-29,,,S. 135,"zum Stern: Offenbarung, Schöpfung,  Erlösung",,
373,"[D009,33",ms K,S,,,1961-04-22,USA,,,"Inh. verlegt nach [D2-nach Bl 2. Liste der bis 22. 04. 1961 abgeschrb.""Gritlibriefe""",,
"374,01","[D009,34",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-08-30,,,S. 136,zum Stern und gleichzeitig Urlaubspläne; Bedeutung des Kriegs für sein Leben,,
"374,02","[D009,35",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-08-31,,,S. 137 f,"der ""Plan"" des Stern",,
375,"[D009,36",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-09-01,,,,drei Briefe von Gritli kamen an - ...,,
376,"[D009,37",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-09-02,Dat. In Kurzliste abw.,,S. 141 ...,zum Fortgang am Stern; Bezug zu Joachim v Fiore; der Wert eines Briefes,,
377,"[D009,38",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-09-03,o.O.,,S. 142 ...,"zum Nahsein und Fernsein in Briefen-""Heiligenscheine muss man täglich rasieren""",,
378,"[D009,39",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-09-04,,,S. 144,"""Ich muss dir wieder mal vom 'Stern' erzählen.""",,
379,"[D009,40",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-09-05,,,S. 145,"zu Mutter nach Vaters Tod; Erinnerung an Frau Cohen, die auch vw. ist.",,
380,"[D009,41",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-09-07,,,S. 146,"zum Fortgang des Stern, zu Rudis Predigtroman",,
381,"[D009,42",K,B,"Rosenzweig, Franz","Rosenstock-H. , Margrit",1918-09-08,,,S. 147,"""Kennst du das Papier ?"" Papier und Tinte als Beschaffungsprbl. ""Deckadresse""",,
382,"[D009,43",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-09-10,,,S. 149 f ...,"zu Weizsäcker, Kähler u.a.; zu Leib und Seele bei Hans E. und Eugen R.",,
383,"[D009,44",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-09-11,,,S. 151,"""Liebes Gritli ..."" = Chiffre, alles steckt drin; zum Edertal, zum Wildunger Altar;",,
384,"[D009,45",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-09-12,,,S. 152 ...,"""Ich darf nach Üsküb ... "" zu den Rohdeschen Briefen",,
385,"[D009,46",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-09-14,,,S. 152 ...,"zu Üsküb. Briefteil vom 15. 09. 1918 nicht in [D9,46 enthalten.",,
386,"[D009,47",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-09-17,,,S. 153,"""...ich wollte, meine Liebe wäre lauter."" Zu Vergebung der Sünde - Ps 130,4ff",,
387,"[D009,48",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-09-30,Belgrad,,S. 153 f,aus dem Feld; geschoren und abgehetzt; Mut zum Stern verloren; Kriegslage,,
388,"[D009,49",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-01,,,S. 155 ...,"zum Stern I,3, Zusammenhang mit ""Urzelle""",,
389,"[D009,50",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-02,,,S. 156,"Ende d Krieges; Schuldfrage? Stern Übergang I nach II, Einarbeitung der Komment.",,
390,"[D009,51",K,B,"Rosenzweig,  Franz","Rosenstock-H., Margrit",1918-10-03,,,S. 157 f,ein  Block gemischten Papiers; zur Nachkriegspolitik - zur Republik; zum Stern,,
391,"[D009,52",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-10-03,,,S. 158,"""noch kein Brief von dir "" zu Stern - Trotz=Treue; Bd II verstehen; wie wird III?",,
"392,01","[D009,53",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-10-04,,,S. 159,zur Entstehung des Stern als Schau; Nachtgedanken am Morgen nicht fassbar,,
"392,02","[D009,54",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-10-05,,,S. 160,"Post nach Dtld dauert 14 Tage; zu Dtld nach dem Krieg-so klein! - Stern I,2 fertig",,
393,"[D009,55",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-10-06,,,S. 163,"zum Kriegsende; zur Stammtischstimmung auf der Stube gegen ""die Großen""",,
394,"[D009,56",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-10-07,,,S. 163 f,zum Kriegsende; zum Stern- Offenbarung ist zweite Schöpfung,,
395,"[D009,57",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-10-08,,,S. 164,"zum Stern, 2. Teil, zweite Einleitung, zum Wunder - Erfüllung o.Offenb.; NT : AT",,
396,"[D009,58",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-10-09,,,S. 165 f,"mit Stern II,1 angefangen; Einfluss Cohens auf die Gedanken, besd. Offenbarung",,
397,"[D009,59",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-10,,,S. 167,"Fortgang des Stern; zum Islam (in II),",,
398,"[D009,60",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-11,,,S. 168,an Gritli und Eugen; zu den Kriegsergebnissen; um ihn herum Religionsgespräch,,
399,"[D009,61",K,B,"Rosenzweig,  Franz","Rosenstock-H., Margrit",1918-10-12,,,S. 168 f,"weiter am Stern, trotz schlechter Bedingungen; zur Lage nach Bethmanns Sturz",,
400,"[D009,62",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-13,,,S. 169 ...,zum Begriff der (Gott-)Versuchung; Übergang zu III; zum Kriegsende,,
401,"[D009,63",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-10-13,,,S. 170 f,"""Mir ist ganz zivil ...""  Dampferfahrt auf Donau und Save",,
402,"[D009,64",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-19,,,S. 171 f,den ganzen Tag auf Abreise - sehe den tanzenden Stern - zum Fortgang,,
403,"[D009,65",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-10-25,,,,"""Ich bin noch ganz verschlafen, in Marburg..aufgewacht. Von da fuhrst du mit mir""",,
404,"[D009,66",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-10-28,Freiburg i.Br.,,S. 172 f,wieder in der Kaserne in Feiburg; Herr Mündel schreibt den Stern ins Reine.,,
405,"[D009,67",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-29,Freiburg i. Br,,S. 174,in der Garnison; Erinnerungen an die Studienzeit in Freiburg,,
406,"[D009,68",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-10-30,Freiburg i. Br.,,S. 174 ff,"Begegnungen in Freiburg, Kähler; Leben in der Garnison",,
407,"[D009,69",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-10-31,,,S. 176,Doris v. Beckerath gestorben,,
,409,"[D009,71",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-11-02,Freiburg i. Br.,,S. 177 f,zu Stern; zum politischen Fortgang nach d Krieg; Unterkunft für Mutter in Frbg?,
,410,"[D009,72",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-11-08,"""am Münsterplatz!""",,S. 178ff...,"zum Stern, II nach III; Unterkunft in Freiburg - man wird schon wieder wählerisch ...",
,411,"[D009,73",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-11-09,,,S. 181 f ...,gg. Erklärg der Offenbarung bei Cohen: Gott gibt sich in der Off.; Revolution in D.,
,412,"[D009,74",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-11-19,,,S. 195 ...,Wie sollen die Bücher des Stern  heißen?,
,413,"[D009,75",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-11-14,,,S. 188 f,"zum Fortgang des Stern. ""Das Buch schreibt sich eigentlich von selbst.""",
,414,"[D009,76",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-11-15,,,S. 189 f,"Stern II,2 ist fertig; bald vorlesen; Neuanfang mit Kähler",
,415,"[D009,77",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-11-20,,,S. 196 ...,zu den einzelnen Teilen in Stern II; zu Spannungen mit Mutter; zum Hegelprojekt,
,416,"[D009,78",K,B,"Rosenzweig, Franz","Rosenstock-H. , Margrit",1918-11-21,Freiburg,,S. 197 ...,"über Reinschrift des Stern mit Hr. Mündel; über Eugens Buch ""Könige u. Stämme""",
,417,"[D009,79",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1918-11-24,Freiburg,,S. 198 f ..,zum Abschreiben des Stern; zu Cohen,
,418,"[D009,80",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-11-25,,,S. 199,zum Verständnis von Religionsphilosophie,
,419,"[D009,81",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Margrit",1918-11-26,Freiburg,,S. 199ff.. .,"zum Stern II,1-3 und zum Abschreiben",
,420,"[D009,82",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-11-10,Freiburg,,S. 183 f,zu Wiederbegegnung mit Siegfried  Kähler; pol.Situation; Zufall und erstes Sehen,
,421,"[D009,83",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1918-11-27,Freibur g,,S. 201,"Fragment von GB S. 200 f, hier S. 201; ""Gute Nacht ist schöner als guten Morgen""",
,422,"[D009,84",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1919-09-01,,,S. 416 f,"inc. ""Wie schade wär das, wenn Du nicht nach Konsanz könntest."" ...",
,423,"[D009,85",K,B,"Rosenzweig, Franz","Rosenstock-H., Margrit",1919-11-22,,,S. 198 f ..,"inc. ""ich bin sehr müde ...""",
,424,"[D009,86",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-10-28,,,S. 456 ...,Gruß an beide. Zum Verlag für Stern; zu Lessingvortrag in Kassel am 28.12.'19,
,425,"[D009,87",K,B,"Rosenzweig,  Franz","Rosenstock-H., Margrit",1919-04-25,,,S. 281 ...,zu Nachricht von GO über Suizidversuch von Mutter Adele,
,"426,01","[D009,88",K,B,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1918-03-00,"Kassel, Terrasse 1",,S. 65 ...,"Dat:GB, 2 Brfe S. 65; Notiz auf K hdf abw.;1918 wahrschl:Tod Cohen April 1918;",
,"426,02","[D009,89",K,B,"Rosenzweig,  Franz","Rosenstock-H, Eugen",1919-10-00,,,S. 460,Kopie beginnt bei GB S. 461 Zeile 7,
,"427,01","[D010,01",K,B,"Rosenzweig, Franz","Rosenstock, Eugen",1917-08-25,Feldpost,,,PostStp 28. 08. 17; zu einem Besuch von Jensen - der große Heide,
,"427,02","[D010,02",K,B,"Rosenzweig,  Franz","Rosenstock-H. , Eugen",1919-08-23,Datum?,,S. 397 ...,"inc. ""hat dir eigentlcih Beckeraths (oder mein) Eisenbahn-Aufsatz gefallen?""",
,"427,03","[D010,03",K,B,"Rosenzweig,  Franz","Rosenstock-H ., Eugen",1919-09-02,,,S. 421 f,"""Was soll ich nun tun?"" zur Beziehung Franz-Eugen",
,"427,04","[D010,04",K,B,"Rosenzweig, Franz","Rosenstock-H.,  Eugen",1919-08-27,,,S. 402 ff,"""Du bist ein arger Theoreticus""; zum Verhältnis Christen / Juden",
