,Sender,Recipient,Date,Sender Location,Recipient Location,Archive,Rauner Item ID,Published,Copyright Holder,Comments
309,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-20,,,Kassel,,,,zum Stern; zur politischen Lage
310,"Rosenzweig,  Franz","Rosenstock-H. , Eugen",1919-08-23,Datum?,,Kassel,,,,"inc. ""hat dir eigentlcih Beckeraths (oder mein) Eisenbahn-Aufsatz gefallen?"""
311,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-25,,,Kassel,,,,zu Konflikt mit Eugen ü. Judesein/Christsein; Geheimnis zw. Freunden?Antw[R11
312,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-26,Berlin,,Kassel,,,,"Dat,Absd/Empf:Couvert; über Verlobung Hans Ehrenberg mit Else"
313,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-08-26,Heidelberg,,Kassel,,,,"Antwort auf [F57,6 = GS I,2 Nr. 605 ...; Dat. geht über auf 27. 08.;zu d Freunden"
314,"Rosenzweig, Franz","Rosenstock-H.,  Eugen",1919-08-27,,,Kassel,,,,"""Du bist ein arger Theoreticus""; zum Verhältnis Christen / Juden"
315,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-28,,,Kassel,,,,das Verhältnis der Freunde zueinander;
316,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-08-28,Heidelberg,,Kassel,,,,Fortsetzung [R11: dem gestrigen hinzufügen; weiterreden in Leipzig
317,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-08-28,Heidelberg,,Kassel,,,,zur Vertiefung der Freundschaften
318,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-08-28,,,Kassel,,,,"zum Konflikt mit Eugen Rosenstock; vgl. GS I,2 Nr.605"
319,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-08-29,Berlin,,Kassel,,,,"zu Martha (Reichenbach?), zum Stern, zu einem Geschenk für Mutter Adele"
320,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-08-29,o.O,,Kassel,,,,"zum Verhältnis der Freunde; zu I.Kor 15,28/29: warum Taufe über den Gräbern?"
321,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-08-30,o.O,,Kassel,,,,zur Gestaltung der Freundschaften
322,"Ehrenberg, Rudolf","Rosenzweig, Franz",1919-08-30,Frankfurt,,Kassel,,,,Helenes Ort im Freundeskreis - gegenseitige Wertschätzung
323,"Ehrenberg, Rudolf","Rosenzweig, Franz",1919-08-31,Frankfurt,,Kassel,,,,Verabredungen
324,"Rosenzweig,  Franz","Oppenheim,  Gertrud",1919-08-31,,,Kassel,,,,Dat:Brf; passt Couvert zu Brief? PostStp [19]19-08-30;  Familiensachen (Adele)
325,"Rosenzweig, Franz","Rosenstock-H., Margrit",1919-09-01,,,Kassel,,,,"inc. ""Wie schade wär das, wenn Du nicht nach Konsanz könntest."" ..."
326,"Rosenzweig,  Franz","Rosenstock-H ., Eugen",1919-09-01,,,Kassel,,,,zur Bedeutung von Onkel Adam für Franz' Jüdischsein
327,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-09-01,o.O,,Kassel,,,,"Antwort auf R18 b.; nochmal zu I.Kor. 15, 28/29 - Taufe über den Gräbern"
328,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-09-01,Berlin,,Kassel,,,,Dat:PostStp; Umschlag mit kl. Notizzettel - zu Verabredungen.
329,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-09-02,o.O,,Kassel,,,,"zu Dat: ""Das war einmal ein Gedenktag"" - welcher?"
330,"Ehrenberg,  Rudolf","Rosenstock-H., Eugen",1919-09-02,Frankfurt,,Kassel,,,,"zur Beziehung Eugen, Rudi, Franz und Helene [Ehrenberg, Rudis Frau]"
331,"Rosenzweig,  Franz","Rosenstock-H ., Eugen",1919-09-02,,,Kassel,,,,"""Was soll ich nun tun?"" zur Beziehung Franz-Eugen"
332,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-09-11,Frankfurt,,Kassel,,,,s. Brfe an Eduard Strauß; hier insb. [B17...nicht mehr allein; Kontakt durch GO;
333,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-09-13,Göttingen,,Kassel,,,,"gemeinsamer Aufenthalt in Kassel;  zu Adele, zu Pfr. H. Schafft u.a."
334,"Rosenzweig, Franz","Strauß, Eduard",1919-09-14,,,Kassel,,,,"ÜbergL: Strauß, Eduard; Beginn der Freundschaft.Vgl. [C9!"
335,"Rosenzweig, Franz","Strauß, Eduard",1919-09-14,Kassel?,,Kassel,,,,Abschr. aus div. Brfen FR an Eduard Strauß Sept.1919-Juli 1920;Orig in [B17 ff
336,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1919-09-16,Absd. s. GB 431 u.,,Kassel,,,,"Fragm., Kopie endet bei GB S. 431 Mitte; zu einer intensiven Beggng; siehe [R"
337,"Rosenzweig, Franz","Strauß, Eduard",1919-09-23,,,Kassel,,,,Dat BrfEnde.; 24.9.1919 in schwarz hdf nachgetragen. Empf:ÜbergL; z Biografie
338,"Rosenzweig, Franz","Kahn,  Mawrik",1919-09-24,Dat. In Kurzliste abw.,,Kassel,,,,Dat Brf u GS; gemeinsam Rosh Hashana feiern?-... dass einer vom andern weiß ...
339,"Ehrenberg,  Rudolf","Rosenstock-H., Eugen",1919-09-24,Göttingen,,Kassel,,,,Gritli ist krank; die Niere als Schwachstelle; zum Umgang mit Franz und Helene
340,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-09-28,Berlin,,Kassel,,,,"GO zum Geb., aber hauptsl. zu einem Brief von  Lotti ( Schwester v  Gritli)"
341,"Rosenzweig, Franz","Strauß, Eduard",1919-10-02,,,Kassel,,,,"Empf: ÜbergL; - 1919-10-02 0der 07? Es bilden sich ""Kreise"""
342,"Rosenzweig,  Franz","Oppenheim, Gertrud",1919-10-03,Berlin,,Kassel,,,,"Empf: Couvert; zur geplanten Ehe mit Edith und zum ""jüdisch sein"""
343,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-10-04,Berlin,,Kassel,,,,Bitte um Treffen; zu einer Begegnung mit Rudolf Hallo in Berlin
344,"Ehrenberg,  Rudolf","Rosenstock-H., Eugen",1919-10-05,Göttingen,,Kassel,,,,zum Verhältnis Rudolf Hallo und Franz;Eugen soll bei Kd v. Rudi u.Helene Pate sein
345,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-10-07,,,Kassel,,,,"über das Verhältnis  von Liebe zu Ehe, von FRs Liebe zu Christen"
346,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-10-08,Zug von HD nach WÜ,,Kassel,,,,"Dat Brf; üb Vortrag in HD; s. GS I,2 S. 648"
347,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-10-11,Frankfurt,,Kassel,,,,zu Texten von Rudi; die Schutzengel; Persönliches; RückS.Couvert: Reiseroute
348,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-10-11,Dat. In GB,,Kassel,,,,"""3. der Jude ist Polmensch""; zu  Weismantels ""1. der Heide,  2. der Christ"""
349,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-10-12,Heidelberg,,Kassel,,,,"Ort/Dat PostStp; Eilbote n. Gö; ""Die Schutzengel""; s. [F54,2+3 u [R22; vllstdge Abs."
350,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-10-13,Heidelberg,,Kassel,,,,"Dat: PostStp; zum Gedicht ""Schutzengel""; davon fragmt. Abschr auf RckS; s.[R22"
351,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-10-15,Frankfurt,,Kassel,,,,"nochmal zu den ""Schutzengeln"" - vollstdg Abs in [G8; Verlag des Stern?"
352,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-10-15,Göttingen,,Kassel,,,,"Rudi hat die Schutzengel geschrieben [G8; s. [F 54, 2 u 3;"
353,"Rosenzweig, Franz","Strauß, Eduard",1919-10-26,,,Kassel,,,,Empf:ÜbergL; zur Frage Gründung eines eig. jüdischen Verlages
354,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-10-27,,,Kassel,,,,Zur einer Veröffentlichung (hic et ubique )
355,"Rosenzweig, Franz","Strauß, Eduard",1919-10-27,,,Kassel,,,,Empf: ÜbergL; - zu dem Selbstverständlichen
356,"Ehrenberg,  Rudolf","Rosenstock-H., Eugen",1919-10-27,Göttingen,,Kassel,,,,"Rudi bittet um Post; zu div. Texten; Wirkung der ""Schutzengel"" auf Helene"
357,N.N.,"Kauffmann, Felix",1919-10-28,,,Kassel,,,,"Dat: Verm hdf; Verlagsangelegenheit; Bezugnahme auf ""Freund Dr. R."""
358,"Rosenzweig, Franz","Kahn,  Mawrik",1919-10-28,,,Kassel,,,,"Dat Brief, GS abw.; zu Schmerzen zufügen,  - aushalten."
359,"Ehrenberg, Rudolf","Rosenstock-H., Margrit",1919-10-28,"Göttiingen, Phys. Institut",,Kassel,,,,Fragm; Freundschaftsbrief; zu Helene vor der Niederkunft
360,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-10-28,,,Kassel,,,,Gruß an beide. Zum Verlag für Stern; zu Lessingvortrag in Kassel am 28.12.'19
361,"Rosenzweig, Franz","Rosenstock-H. , Eugen",1919-10-30,,,Kassel,,,,"inc: Die Arbeitsgemeinschaft ist ... Momentporträt; ""Fortsetzung""  in [D10,41"
362,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-03,Kassel,,Kassel,,,,"zu einem Brief (von Gritli?) , den er Rudi bei aller Freundschaft  nicht gezeigt hat"
363,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1919-11-04,Dat. GB,,Kassel,,,,"""Fortsetzung"" zur ""Arbeitsgemeinschaft"" Siehe D10,11"
364,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-06,Kassel,,Kassel,,,,"Bedtg v.""und""-zu einem relig. Text von Rudi - Paulus? s.[R24;""alle sollen es lesen"","
365,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-11-06,Kassel,,Kassel,,,,zur Kommunikation / Korresponenz unter den Freunden
366,"Rosenzweig, Franz","Strauß, Eduard",1919-11-08,Kassel,,Kassel,,,,"Empf: ÜbergL; zu Zionismus, Liberalismus, Assimilation, das Tun"
367,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-08,Kassel,,Kassel,,,,"zu einer Aufsatzreihe von Rudi zu Gaube, Liebe, Hoffnungi; ""Wahrheit ist piano"""
368,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-09,Kassel,,Kassel,,,,"Dat PostStp; wieder zu Rudi-Text; ""Man muß an das Publikum .. Briefe scheiben"""
369,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-11-10,G.öttingen,,Kassel,,,,"Schrift: Sütterlin; von einem Werk, das Rudi an Adele geschickt hat: ""Judas""?"
370,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-11-10,Frankfurt,,Kassel,,,,zum Umgang in einer Freundschaft miteinander
371,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-10,Kassel,,Kassel,,,,"wieder zu Rudi-Text. Die Hölle ist kalt. Persönliches; zu ""Schutzengel"""
372,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-11-11,Kassel,,Kassel,,,,"zur Edition des ""Judas""; Adele hat ihn in KS vorgelesen (S. GB S. 472 (473))"
373,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-11-12,G.öttingen,,Kassel,,,,zur Kommunikation unter den Freunden
374,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-11-12,Kassel,,Kassel,,,,"Brief a) Antwort auf [R24,"
375,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-11-13,Göttingen,,Kassel,,,,Antwort auf [R27; Rudi lernt Geduld in der Freundschaft
376,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1919-11-13,Kassel,,Kassel,,,,"""Du darfst an der Kraft zweifeln, aber nie  an der Liebe"""
377,"Rosenzweig, Franz","Rosenstock-H., Eugen",1919-11-13,Dat. in GB,,Kassel,,,,Fragment; Kop. ab GB S. 476 letzter Absatz Zeile 4 zur Finanzierung
378,"Ehrenberg, Rudolf","Rosenzweig, Franz",1919-11-13,Göttingen,,Kassel,,,,"Bleistift; alle treffen sich (wo?). Rudi hat die ""Schutzengel"" gebunden"
379,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-14,Kassel,,Kassel,,,,Dat PostStp; zur Übernahme der Bibl. eines verstb Rabbiners; zum Verlag f Stern
380,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-11-14,Kassel,,Kassel,,,,"grünes Leder zum Einband für die"" Schutzengel""; zum Verlag für den Stern."
381,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-11-15,Kassel,,Kassel,,,,Dat PostStp; Schutzengel-Text in der Synagoge; RückS: Urlaubsschein aus Belg.
382,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1919-11-15,Göttingen,,Kassel,,,,Rudi zum einem Besuch von Gritli in Göttingen; Franz möchte bitte auch kommen.
383,"Rosenzweig, Franz","Ehrenberg, Rudolf",1919-11-15,Kassel; hdf. Cassel,,Kassel,,,,"Gritli will am 23. (11. ) nach Kassel kommen, wer wen wie treffen kann"
384,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-11-16,Kassel,,Kassel,,,,"zum möglichen Treffen, wer-wen-wann;"
385,"Rosenzweig, Franz","Rosenstock-H., Margrit",1919-11-22,,,Kassel,,,,"inc. ""ich bin sehr müde ..."""
386,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-12-01,Kassel,,Kassel,,,,zu Gritlis Besuch in GÖ; Bezugnahme auf Text der RückS: Korr.Fahne vom Hegel
387,"Ehrenberg,  Rudolf","Rosenstock-H.,  Eugen",1919-12-13,G.öttingen,,Kassel,,,,"will ""Kolleg über den Tod"" halten; hat ""Paulus"" in Arbeit;"
388,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1919-12-21,Kassel,,Kassel,,,,Dat undtl: 26. 12.1919? Franz bittet um Ruhe f Vortrag; RückS: Hegel Korr.Fahne
389,"Rosenzweig, Franz","Kahn,  Mawrik",1919-12-22,Kreiensen-Wartesaal,,Kassel,,,,"vom Tun (""auch Worte sind Taten"") und zu theol. Fragen"
390,"Rosenzweig, Franz","Strauß, Eduard",1919-12-22,,,Kassel,,,,"Empf: ÜbergL; zu Eugen Rosenstock und sein ""Jüdischgewesensein"""
391,"Ehrenberg,  Rudolf","Ehrenberg, Victor sen.",1919-12-23,Göttingen,,Kassel,,,,"Anrede: ""Vater""; zum Verh. Juden-Kirche. Rudis 50%  ""Judenstolz"""
392,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1919-12-26,Kassel,,Kassel,,,,"Verlag für Stern? ""Angst"" vor Vortrag;zur Hrsgb u. Bedeutg des Hegelbuchs"
393,"Ehrenberg,  Rudolf","Rosenstock -H., Eugen",1919-12-27,G.öttingen,,Kassel,,,,"hat ein Manuskript zurückerhalten;-?-; war sehr krank; ""Maria Eugenie"" geboren"
394,"Rosenzweig,  Franz","Rosenstock-H.,  Eugen",1920-01-01,,,Kassel,,,,über den Druck des Stern; über die Beziehung zur Mutter
395,"Rosenzweig, Franz","Hahn,  Edith",1920-01-05,auf Bahn (Ffm-KS?),,Kassel,,,,Edith Hahn:  Ein Tg vor der Verlobg am 06.01.1920; über Ed. Strauß; o.U.; Fragm?
396,"Rosenzweig,  Franz","Oppenheim, Gertrud",1920-01-06,Kassel,,Kassel,,,,"Empf: Couvert; Mitteilung Verlobung mit Edith Hahn. Vgl. [B50 = GS I,2Nr. 636 ..."
397,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1920-01-14,Kassel,,Kassel,,,,"Bekanntmchg der Verlobg m Edith Hahn in Kassel; Erwähng der ""Schwester"""
398,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1920-01-15,Kassel,,Kassel,,,,zur Finanzierung des Stern
399,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-01-16,Göttingen,,Kassel,,,,zu Hans und Else; FR jetzt verlobt mit Edith; Werk (?) gebunden; wem geben?
400,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-01-19,o.O.,,Kassel,,,,Kopierstift; schlechte Schrift; zu Veröffentl.gen von beiden; zum Freundeskreis
401,"Ehrenberg,  Rudolf","Rosenstock-H ., Eugen",1920-01-20,"Göttingen, nachts",,Kassel,,,,Helene hat es schwer im Kreis; s. [R47
402,"Rosenzweig,  Franz","Rosenzweig, Adele",1920-01-22,,,Kassel,,,,Lehrhauspläne und Finanzfragen zur Hrsg. des Stern; zu den Vettern u Freunden
403,"Rosenzweig, Franz","Strauß, Eduard",1920-01-22,Im Zug,,Kassel,,,,"""Lieber Freund"" - über Veröffentlichung des Stern"
404,"Oppenheim,  Gertrud","Rosenstock-H., Margrit",1920-01-23,Kassel,,Kassel,,,,Zum Verhältnis der beiden Frauen und wie GO das Verh. Gritli - Franz erlebt
405,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-01-24,Göttingen,,Kassel,,,,"Rudi zu seiner Ehe; Gruß an Edith,"
406,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-01-27,,,Kassel,,,,Antwort auf [R41; zur Freundschaft
407,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-01-28,Göttingen,,Kassel,,,,Antw auf [R42; weiter zur Gestaltung der Freundschaft
408,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1920-01-29,o.O.,,Kassel,,,,Dat hdf 29./30.1.20. Antwort auf [R43; Franz sorgt sich um Rudis Lebendigkeit
409,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-01-31,Göttingen,,Kassel,,,,"Antwort auf [R44; Rechtfertigung; neuer Text: ""Die Schwester"""
410,Standesamt Kassel,"Rosenzweig, FR betr.",1920-02-05,"Kassel,Auszg geb.Reg.",,Kassel,,,,"Absd:Geburtsurkunde vom 28. Dez. 1886, Beurkdg Geburt am 25. Dez. 1886"
411,Hahn  Edith,"Rosenstock-H., Margrit",1920-02-06,,,Kassel,,,,"Dank für Bachkantate, Geschenk z Verlobung; Vgl. GB S. 576, Anm. 3"
412,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1920-02-06,Frankfurt,,Kassel,,,,"Dat, Ort hdf; zu Gritlis Macht ü Franz; zur ""Schwester"""
413,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-02-07,Göttingen,,Kassel,,,,"zu Verhältnis der Freunde;zu den Dat 21.8.1919 u. 21.1.1920; zu ""Schutzenngel"""
414,"Rosenzweig, Franz","Strauß, Eduard",1920-02-12,Kassel,,Kassel,,,,"zum ""Du""-Sagen; Verlagsverhandlungen; Manöver mit einer offenen Postkarte"
415,"Rosenzweig, Franz","Strauß, Eduard",1920-02-15,,,Kassel,,,,"Dat auf Brief; zum Vertrag mit Verlg Kauffmann für ""Stern""; "" Teufelei"" ...s. B29"
416,"Rosenstock-H., Eugen","Rosenzweig, Franz",1920-02-17,Stuttgart/Kassel,,Kassel,,,,"Telegr aufggb in Stuttgart, 17.2.1920 ;  E. in Kassel 18. 2.; Zu Verlag, s. [B30,1"
417,"Rosenzweig, Franz","Strauß, Eduard",1920-02-18,,,Kassel,,,,"Irritationen wg Verlag f Stern; Bezug: [B30,2"
418,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-02-23,Göttingen,,Kassel,,,,"zum Feinstofflichen in der Beziehung aller,-zu möglichem Versagen"
419,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1920-02-24,,,Kassel,,,,
420,"Rosenzweig,  Franz","Rosenstock-H ., Margrit",1920-02-25,,,Kassel,,,,zum Einleben in Frankfurt
421,"Rosenstock,  Eugen","Rosenzweig,  Adele",1920-02-27,Stuttgart,,Kassel,,,,"zur geistigen Situation der Generation, die den Krieg- überlebt hat"
422,"Rosenzweig, Franz","Rosenstock-H ., Margrit",1920-02-29,,,Kassel,,,,"Hochzeitsvorbereitung; ""zieh doch das weiße Keid an. Edith lacht u darf das"""
423,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1920-03-04,,,Kassel,,,,Hochzeitsvorbereitungen; Lessinghaus als Ort in Berlin;
424,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-03-04,Frankfurt,,Kassel,,,,zur Vorbereitung der Trauung in Berlin
425,"Rosenstock-H.,  Eu. u M","Rosenzweig,  Adele",1920-03-10,,,Kassel,,,,"Dat:""Grilis Geburtstag""; zum ""sterben wollen""; Lebensgefühl nach 1918"
426,"Rosenzweig, Franz","Hahn, Ilse",1920-03-11,,,Kassel,,,,"""Kein Mensch kann sich selber helfen ... """
427,"Rosenzweig, Franz","Kahn,  Mawrik",1920-03-13,,,Kassel,,,,"Dat GS; Brf:13.II.20 ; FR beschreibt Edith Hahn, die Braut"
428,"Rosenstock-H.,  Eu. u M","Rosenzweig,  Adele",1920-03-19,,,Kassel,,,,"zum Zusammnegehören; ""Deine Hauskinder""; z. Todestag von Georg Rosenzweig"
429,"Rosenzweig,  Franz u.Ad.","Ehrenberg, Rudolf",1920-03-19,Kassel,,Kassel,,,,"Dat PostStp; Inhalt zwei  Brfe, einer m Dat: Abs.v Brf Adele; undat Stellungn. FR"
430,"Rosenzweig,  Franz u. Ad.","Ehrenberg, Rudolf",1920-03-23,Kassel,,Kassel,,,,Dat PostStp; über die Reise zur Hochzeit nach Berlin;Adeles Bedenken zur Reise
431,"Ehrenberg, Rudolf",Rosenzweig Franz u. Ed.,1920-03-28,Berlin,,Kassel,,,,"Becherrede f FR u Edith; Ort/Dat/Adr ÜbergL; Autor:""halbjd"": Rudolfs Mutter Christ"
432,"Rosenzweig, Franz","Hahn, Edith",1920-03-28,,,Kassel,,,,"in der Nacht vor der Hochzeit; ""Du geheiligt mir""...""Aufs Leben dann .."""
433,"Rosenzweig, Franz","Strauß, Eduard",1920-04-04,,,Kassel,,,,von der Hochzeit u. Hochzeitsreise i d Solling;das Anfangen in FfM
434,Ehrenberg/Rosenzweig,Rudolf / Franz,1920-04-15,Berlin / Kassel,,Kassel,,,,Ein BriefW auf einem  Blatt; Antw. FR 16.04.1920 PostStp; zu  Krankht Adele
435,"Rosenzweig,  Franz","Strauß, Eduard",1920-04-16,,,Kassel,,,,Empf:ÜbergL; über erste Probeabzüge  vom Stern; gg Ambition des Verlegers
436,"Rosenzweig, Franz","Hahn,  Ilse",1920-04-18,,,Kassel,,,,"Über d. Rede bei Trauung Franz / Edith; zu Geist und Herz, persönlich / unpersönl."
437,"Ehrenberg,  Rudi u. Gritli","Rosenzweig, Adele",1920-04-26,Stuttgart,,Kassel,,,,Beide waren in Berlin u. schreiben von Werner u Greda Picht u.a.; Gritli schwach
438,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-04-29,Göttingen,,Kassel,,,,zur Entwicklung der Beziehungen; zu Greda und Werner Picht
439,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-05-05,Frankfurt,,Kassel,,,,zum Beginn der LH-Kurse; zum Erscheinugnsbild des Stern;  Ersch. des Hegel
440,"Rosenzweig, Franz","Oppenheim, Gertrud",1920-05-14,Kassel,,Kassel,,,,Dat PostStp; hebr. Alphabet; Gruß in Deutsch mit hebr. Buchstaben
441,"Rosenzweig,  Franz","Strauß, Eduard",1920-05-14,,,Kassel,,,,"zu einer Stunde im Lehrhaus, die Eduard Strauß  gehalten hat."
442,"Rosenzweig, Franz u. Ed.","Oppenheim, Gertrud",1920-05-16,Kassel,,Kassel,,,,"Dat PostStp; Text in hebr. Buchstaben geschrieben, aber deutscher Inhalt"
443,"Rosenzweig, Franz","Strauß, Eduard",1920-07-14,,,Kassel,,,,Zur Edition des Stern - Datierung jüd./christl.
444,"Ehrenberg, Helene","Rosenzweig,  Franz",1920-07-15,Leipzig,,Kassel,,,,"Absd.:Frau von Rudi, arg: Schrift [R56; Rudis ""Predigten""- Buch ist erschienen"
445,"Rosenzweig,  Franz","Rosenstock-H.,  Margrit",1920-07-15,,,Kassel,,"I,2 Nr. 633 ...S. 626 ...",,zu Todesbereitschaft u Rettung
446,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-07-19,G öttingen,,Kassel,,,,"zum guten Echo auf ""Predigt""Buch; zu Wandlung der Gefühle in der Freundschaft"
447,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-07-20,Göttingen,,Kassel,,,,"inc. ""warum schreibst du nicht ein Wort dazu? Siehe [R52 u. 51. Briefe gekreuzt."
448,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-07-22,Göttingen,,Kassel,,,,"Einladg nach Holland wg. ""Predigten"" angenommen; Versuche zur ""Krebsidee"""
449,"Rosenzweig, Franz","Oppenheim, Gertrud",1920-08-16,Frankfurt,,Kassel,,,,"Über Edith, jetzt seine Frau"
450,"Ehrenberg, Helene","Rosenzweig, Franz",1920-08-23,Heidelberg,,Kassel,,,,Absd. Frau von Rudi; zu Hans und Else; im Ggsatz zu Franz und Edith
451,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-08-23,Heidelberg,,Kassel,,,,Kopierstift; zur Ehe von Hans u Else Ehrenberg; wie Hans zu  Gritli steht?
452,"Rosenzweig,  Franz","Ehrenberg, Rudolf u.H.",1920-08-24,,,Kassel,,,,"zur Ehe als glücklich u./o. gut; Franz will eine gute Ehe, keine glückliche!"
453,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-09-03,Albhotel Traifelberg,,Kassel,,,,Antwort auf [R57; zur Beziehung der Freunde / Ehepartner
454,"Rosenzweig,  Franz","Ehrenberg,  Rudolf",1920-09-12,,,Kassel,,,,konnte nicht m. Helene (Rudis Ehefrau ) sprechen: zum Verhältn d. Freunde (s.[R)
455,"Rosenzweig, Franz","Kahn,  Mawrik",1920-09-18,"FfM, Cronstetterstr. 9",,Kassel,,,,als studierter akademischer Lehrer nach Palästina?
456,"Rosenzweig,  Franz","Raeburn,  Walter",1920-09-20,"FfM, Cronstetterstr. 9",,Kassel,,,,"Empf: Walter, geb. Regensburg, Vetter in London; zur Überwindg von Ablehnung"
457,"Rosenzweig, Franz","Kahn,  Mawrik",1920-09-20,,,Kassel,,,,"Vorschlag, Lehrer für jüdische Schüler zu werden in Litauen"
458,"Rosenzweig, Franz","Ehrenberg,  Rudolf",1920-09-21,Frankfurt,,Kassel,,,,Dat hdf; Ort PostStp; zum Verhältnis der Freunde; Rücks. Hegel-ms
459,"Rosenzweig,  Franz","Rosenstock-H. , Margrit",1920-10-01,,,Kassel,,,,
460,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-10-06,Göttingen,,Kassel,,,,"zur Rezeption der ""Predigten""; Klage: Franz schreibt nicht"
461,"Rosenzweig,  Edith","Hahn, Ilse",1920-10-07,Frankfurt,,Kassel,,,,von viel Arbeit im Haus; Wohnungssuche; Start im Lehrhaus
462,"Rosenzweig,  Franz","Ehrenberg, Rudolf",1920-10-08,Frankfurt,,Kassel,,,,"zu einem Werk R. Ehrenbergs, hier dritter Teil; rundschicken; Titel? (Schwester?)"
463,"Ehrenberg,  Rudolf","Rosenzweig,  Franz",1920-10-09,Göttingen,,Kassel,,,,"""Ja"" zu Kritik von Franz (betr. Predigten?); zu Gritlis Krankheit; zur Anthropsosphie"
464,"Ehrenberg, Rudolf","Rosenzweig, Franz",1920-10-11,Göttingen,,Kassel,,,,"Diskussion des Titels [R63 - ""Spiel des Todes mit dem Leben""-Vorschlag Eugen"
